"quantity","native","mplus","absolute_difference"
"robust_se_1",0.0258279461487279,0.025827944,2.14872790740839e-09
"robust_se_2",0.0307034448136225,0.030703441,3.8136224803087e-09
"robust_se_3",0.0209806167363435,0.020980552,6.47363435392345e-08
"robust_se_4",0.0344796709206234,0.034479658,1.29206233698276e-08
"robust_se_5",0.0247497219219173,0.024749722,7.8082724314088e-11
"robust_se_6",0.028105611426341,0.028105609,2.42634103087003e-09
"robust_se_7",0.020427463736288,0.020427412,5.17362879794148e-08
"robust_se_8",0.0335318677231923,0.033531855,1.27231923260918e-08
"robust_se_9",0.258201217917877,0.25820121,7.91787674314648e-09
"robust_se_10",0.127287021880147,0.12728684,1.81880146776781e-07
"robust_se_11",0.184298048921743,0.18429794,1.08921742569823e-07
"scaling_correction",0.979675663483457,0.97967496,7.03483457376031e-07
"aic",6103.05048885141,6103.0505,1.11485896923114e-05
"bic_individual",6159.04133404495,6159.0413,3.40449478244409e-05
"sabic_individual",6124.10105998363,6124.1011,4.00163698941469e-05
